Question,Company,Category,Complexity,Experience Level,Years of Experience
How would you handle conflicting priorities as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Medium,Group PM,5-8 years
How would you approach declining engagement at Salesforce?,Salesforce,Growth,Simple,Senior PM,2-3 years
What would be your plan to enhance customer satisfaction at Stripe?,Stripe,Strategic,Complex,Group PM,1-2 years
Describe how you would enter a new market for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Simple,PM,3-5 years
How would you handle technical debt as a PM at Meta?,Meta,Strategic,Medium,Group PM,0-1 years
How do you prioritize feature backlog when working at Microsoft?,Microsoft,Customer Obsession,Simple,Group PM,8+ years
Design a product to increase user engagement for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Simple,Senior PM,1-2 years
Design a product to improve NPS for Microsoft.,Microsoft,Growth,Simple,Group PM,5-8 years
How would you approach a failing product at Google?,Google,Execution,Complex,PM,8+ years
How would you approach a failing product at Amazon?,Amazon,Strategic,Simple,Principal PM,8+ years
Describe how you would scale an MVP for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Medium,Director,2-3 years
How would you handle customer complaints as a PM at Apple?,Apple,Growth,Complex,Senior PM,8+ years
What would be your plan to enhance customer satisfaction at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Complex,Principal PM,8+ years
How would you handle cross-functional alignment as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Simple,Group PM,8+ years
How would you approach a failing product at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Medium,Senior PM,3-5 years
Describe how you would enter a new market for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Medium,Senior PM,1-2 years
Design a product to reduce churn for Google.,Google,Strategic,Complex,Principal PM,1-2 years
Design a product to increase user engagement for Airbnb.,Airbnb,Technical,Complex,PM,1-2 years
Describe how you would launch a new feature for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Complex,Senior PM,8+ years
How do you prioritize cross-team dependencies when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Medium,PM,3-5 years
How do you prioritize roadmap planning when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Simple,Director,1-2 years
How would you handle technical debt as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Complex,PM,5-8 years
How do you prioritize customer feedback when working at Amazon?,Amazon,Growth,Complex,Principal PM,8+ years
How would you handle technical debt as a PM at Airbnb?,Airbnb,Foundation,Medium,Group PM,0-1 years
How would you handle tight deadlines as a PM at Netflix?,Netflix,Execution,Simple,Senior PM,1-2 years
What would be your plan to improve NPS at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Medium,PM,0-1 years
How would you handle cross-functional alignment as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Simple,Principal PM,5-8 years
Design a product to reduce churn for Meta.,Meta,Foundation,Medium,Principal PM,0-1 years
How would you handle conflicting priorities as a PM at Meta?,Meta,Customer Obsession,Simple,Senior PM,3-5 years
How would you approach high churn rate at Uber?,Uber,Growth,Complex,PM,5-8 years
What would be your plan to grow market share at Amazon?,Amazon,Execution,Medium,Director,2-3 years
What would be your plan to improve NPS at Stripe?,Stripe,Behavioral,Medium,Senior PM,0-1 years
Describe how you would scale an MVP for Google.,Google,Metrics,Medium,Director,8+ years
What would be your plan to increase user engagement at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Simple,Group PM,3-5 years
How would you approach high churn rate at Stripe?,Stripe,Metrics,Simple,Principal PM,5-8 years
Describe how you would reduce churn for Microsoft.,Microsoft,Strategic,Complex,Senior PM,5-8 years
Describe how you would reduce churn for Amazon.,Amazon,Behavioral,Medium,Senior PM,8+ years
How would you approach rapid growth at Apple?,Apple,Leadership,Complex,Principal PM,8+ years
How do you prioritize feature backlog when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Complex,Group PM,0-1 years
How would you approach declining engagement at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Medium,Senior PM,0-1 years
How would you handle customer complaints as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Simple,Senior PM,8+ years
Describe how you would sunset a product for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Simple,Group PM,2-3 years
How do you prioritize roadmap planning when working at Netflix?,Netflix,Metrics,Medium,Senior PM,5-8 years
What would be your plan to enhance customer satisfaction at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Simple,Senior PM,2-3 years
What would be your plan to increase user engagement at Salesforce?,Salesforce,Behavioral,Simple,PM,8+ years
Describe how you would enter a new market for Netflix.,Netflix,Strategic,Medium,PM,5-8 years
How do you prioritize feature backlog when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Simple,PM,3-5 years
Design a product to grow market share for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Simple,Principal PM,8+ years
Design a product to enhance customer satisfaction for Uber.,Uber,Technical,Medium,Group PM,8+ years
How would you approach declining engagement at Netflix?,Netflix,Technical,Simple,PM,5-8 years
How would you approach high churn rate at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Complex,Director,2-3 years
How would you approach a failing product at Uber?,Uber,Foundation,Medium,Principal PM,8+ years
How do you prioritize roadmap planning when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Simple,PM,8+ years
What would be your plan to enhance customer satisfaction at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Medium,Director,3-5 years
Design a product to increase user engagement for Netflix.,Netflix,Behavioral,Simple,Director,0-1 years
Describe how you would sunset a product for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Simple,Senior PM,0-1 years
How do you prioritize customer feedback when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Complex,PM,1-2 years
How would you handle tight deadlines as a PM at Airbnb?,Airbnb,Growth,Complex,Senior PM,1-2 years
Design a product to improve NPS for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Simple,PM,8+ years
What would be your plan to increase user engagement at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Simple,Principal PM,1-2 years
Describe how you would sunset a product for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Complex,Group PM,5-8 years
How would you approach rapid growth at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Complex,Principal PM,1-2 years
How do you prioritize roadmap planning when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Complex,Principal PM,8+ years
Design a product to reduce churn for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Medium,Group PM,8+ years
What would be your plan to improve NPS at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Complex,Group PM,3-5 years
What would be your plan to improve NPS at Meta?,Meta,Foundation,Complex,Senior PM,5-8 years
Design a product to improve NPS for Apple.,Apple,Growth,Complex,Director,8+ years
Describe how you would reduce churn for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Medium,PM,8+ years
How would you handle tight deadlines as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Medium,Senior PM,1-2 years
How do you prioritize customer feedback when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Simple,Senior PM,5-8 years
How would you approach a major product launch at Netflix?,Netflix,Metrics,Medium,PM,8+ years
Design a product to increase user engagement for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Complex,Group PM,5-8 years
What would be your plan to increase user engagement at Airbnb?,Airbnb,Foundation,Simple,Principal PM,1-2 years
How would you approach declining engagement at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Simple,PM,5-8 years
How would you approach a major product launch at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Medium,Group PM,5-8 years
How would you handle conflicting priorities as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Medium,PM,5-8 years
Design a product to improve NPS for Uber.,Uber,Strategic,Complex,PM,2-3 years
What would be your plan to improve NPS at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Complex,Group PM,2-3 years
How do you prioritize cross-team dependencies when working at Apple?,Apple,Leadership,Medium,PM,3-5 years
Design a product to reduce churn for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Medium,Senior PM,5-8 years
Design a product to enhance customer satisfaction for Stripe.,Stripe,Execution,Medium,Director,5-8 years
Describe how you would reduce churn for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Complex,Senior PM,3-5 years
Design a product to reduce churn for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Simple,Director,3-5 years
Design a product to reduce churn for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Simple,Principal PM,0-1 years
Describe how you would scale an MVP for Stripe.,Stripe,Foundation,Complex,Group PM,2-3 years
What would be your plan to grow market share at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Leadership,Medium,Senior PM,0-1 years
How would you handle customer complaints as a PM at Amazon?,Amazon,Foundation,Medium,Group PM,8+ years
Describe how you would scale an MVP for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Complex,Group PM,5-8 years
What would be your plan to reduce churn at Netflix?,Netflix,Technical,Simple,PM,1-2 years
Describe how you would enter a new market for Salesforce.,Salesforce,Technical,Medium,Director,2-3 years
What would be your plan to grow market share at Netflix?,Netflix,Strategic,Medium,Group PM,3-5 years
What would be your plan to reduce churn at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Simple,Senior PM,0-1 years
Describe how you would reduce churn for Stripe.,Stripe,Technical,Medium,Group PM,5-8 years
How would you approach declining engagement at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Complex,Senior PM,2-3 years
How would you approach high churn rate at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Medium,Senior PM,1-2 years
How do you prioritize roadmap planning when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Complex,Director,1-2 years
Describe how you would scale an MVP for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Simple,Group PM,8+ years
Describe how you would sunset a product for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Medium,Group PM,8+ years
How do you prioritize roadmap planning when working at Microsoft?,Microsoft,Leadership,Medium,PM,2-3 years
Design a product to grow market share for Stripe.,Stripe,Technical,Complex,Senior PM,1-2 years
Describe how you would launch a new feature for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Simple,Group PM,5-8 years
Describe how you would improve customer retention for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Complex,Group PM,8+ years
Design a product to improve NPS for Amazon.,Amazon,Growth,Simple,Senior PM,1-2 years
What would be your plan to reduce churn at Meta?,Meta,Metrics,Medium,Group PM,5-8 years
Design a product to enhance customer satisfaction for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Leadership,Complex,Senior PM,3-5 years
Design a product to improve NPS for Salesforce.,Salesforce,Customer Obsession,Complex,Senior PM,1-2 years
How do you prioritize roadmap planning when working at Google?,Google,Growth,Simple,Group PM,8+ years
Design a product to improve NPS for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Complex,Director,8+ years
Describe how you would sunset a product for Amazon.,Amazon,Leadership,Medium,Senior PM,3-5 years
Describe how you would improve customer retention for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Simple,Principal PM,5-8 years
Describe how you would launch a new feature for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Simple,PM,2-3 years
What would be your plan to enhance customer satisfaction at Meta?,Meta,Foundation,Complex,PM,5-8 years
Design a product to grow market share for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Simple,Group PM,8+ years
Design a product to reduce churn for Amazon.,Amazon,Customer Obsession,Simple,Group PM,8+ years
Describe how you would improve customer retention for Meta.,Meta,Leadership,Medium,PM,3-5 years
How do you prioritize roadmap planning when working at Meta?,Meta,Customer Obsession,Simple,PM,1-2 years
How would you approach declining engagement at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Medium,PM,8+ years
How do you prioritize cross-team dependencies when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Complex,Director,1-2 years
How would you approach a major product launch at Salesforce?,Salesforce,Behavioral,Simple,Senior PM,3-5 years
How do you prioritize feature backlog when working at Airbnb?,Airbnb,Customer Obsession,Simple,Senior PM,3-5 years
Describe how you would enter a new market for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Simple,Senior PM,2-3 years
How would you handle conflicting priorities as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Medium,PM,0-1 years
What would be your plan to enhance customer satisfaction at Google?,Google,Customer Obsession,Simple,Senior PM,2-3 years
Describe how you would reduce churn for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Complex,PM,2-3 years
What would be your plan to reduce churn at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Simple,Group PM,5-8 years
How would you approach a failing product at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Complex,Director,3-5 years
Describe how you would scale an MVP for Apple.,Apple,Technical,Complex,Principal PM,1-2 years
Describe how you would reduce churn for Meta.,Meta,Metrics,Simple,Director,0-1 years
Describe how you would enter a new market for Meta.,Meta,Technical,Simple,PM,8+ years
How do you prioritize feature backlog when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Medium,Senior PM,5-8 years
Describe how you would scale an MVP for Airbnb.,Airbnb,Execution,Medium,Senior PM,3-5 years
How would you approach a major product launch at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Medium,Senior PM,2-3 years
How do you prioritize cross-team dependencies when working at Google?,Google,Behavioral,Complex,Director,0-1 years
How do you prioritize roadmap planning when working at Salesforce?,Salesforce,Technical,Medium,Director,1-2 years
How would you handle tight deadlines as a PM at Microsoft?,Microsoft,Metrics,Simple,Group PM,0-1 years
What would be your plan to improve NPS at Google?,Google,Execution,Medium,Senior PM,2-3 years
Describe how you would sunset a product for Google.,Google,Strategic,Medium,Senior PM,5-8 years
How do you prioritize cross-team dependencies when working at Salesforce?,Salesforce,Execution,Complex,Group PM,1-2 years
How would you approach high churn rate at Airbnb?,Airbnb,Technical,Simple,Senior PM,2-3 years
How would you approach rapid growth at Meta?,Meta,Leadership,Complex,Group PM,8+ years
Design a product to increase user engagement for Uber.,Uber,Strategic,Complex,Senior PM,0-1 years
Design a product to grow market share for Uber.,Uber,Metrics,Medium,PM,3-5 years
How would you approach rapid growth at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Simple,Director,2-3 years
How would you handle cross-functional alignment as a PM at Apple?,Apple,Growth,Complex,PM,0-1 years
How would you approach high churn rate at Meta?,Meta,Strategic,Simple,Senior PM,3-5 years
What would be your plan to increase user engagement at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Complex,Group PM,5-8 years
Describe how you would sunset a product for Uber.,Uber,Metrics,Medium,Principal PM,5-8 years
Describe how you would sunset a product for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Medium,Director,2-3 years
Design a product to enhance customer satisfaction for Amazon.,Amazon,Leadership,Complex,Group PM,2-3 years
Design a product to grow market share for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Complex,Group PM,3-5 years
Design a product to improve NPS for Meta.,Meta,Metrics,Medium,Director,0-1 years
How would you handle technical debt as a PM at Apple?,Apple,Leadership,Simple,Group PM,2-3 years
How do you prioritize feature backlog when working at Apple?,Apple,Customer Obsession,Complex,Director,8+ years
How would you approach rapid growth at Uber?,Uber,Leadership,Complex,PM,3-5 years
Describe how you would scale an MVP for Microsoft.,Microsoft,Foundation,Complex,PM,0-1 years
Describe how you would improve customer retention for Airbnb.,Airbnb,Growth,Complex,Principal PM,8+ years
What would be your plan to grow market share at Apple?,Apple,Strategic,Simple,Group PM,8+ years
Design a product to enhance customer satisfaction for Meta.,Meta,Technical,Simple,Director,8+ years
How would you handle cross-functional alignment as a PM at Amazon?,Amazon,Behavioral,Medium,Senior PM,0-1 years
How would you approach rapid growth at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Leadership,Simple,Senior PM,1-2 years
How would you approach declining engagement at Airbnb?,Airbnb,Growth,Medium,Director,1-2 years
How do you prioritize roadmap planning when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Medium,Senior PM,5-8 years
Design a product to enhance customer satisfaction for Netflix.,Netflix,Customer Obsession,Complex,Director,0-1 years
How do you prioritize cross-team dependencies when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Complex,Group PM,1-2 years
Design a product to reduce churn for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Complex,Principal PM,5-8 years
Describe how you would scale an MVP for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Medium,Director,1-2 years
Describe how you would improve customer retention for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Complex,PM,8+ years
What would be your plan to increase user engagement at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Leadership,Medium,Director,5-8 years
How do you prioritize cross-team dependencies when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Complex,Principal PM,0-1 years
What would be your plan to grow market share at Microsoft?,Microsoft,Behavioral,Simple,PM,8+ years
How would you approach a major product launch at Uber?,Uber,Foundation,Simple,PM,2-3 years
Describe how you would sunset a product for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Simple,Group PM,1-2 years
How do you prioritize roadmap planning when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Complex,PM,2-3 years
Design a product to reduce churn for Airbnb.,Airbnb,Technical,Complex,Principal PM,2-3 years
What would be your plan to increase user engagement at Amazon?,Amazon,Growth,Complex,PM,3-5 years
How would you approach a major product launch at Meta?,Meta,Strategic,Medium,Senior PM,1-2 years
Describe how you would enter a new market for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Simple,Senior PM,2-3 years
How do you prioritize roadmap planning when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Medium,PM,1-2 years
What would be your plan to improve NPS at Microsoft?,Microsoft,Metrics,Simple,PM,0-1 years
How would you approach high churn rate at Google?,Google,Growth,Complex,Director,8+ years
What would be your plan to increase user engagement at Uber?,Uber,Customer Obsession,Simple,Senior PM,8+ years
What would be your plan to reduce churn at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Simple,Principal PM,1-2 years
How would you handle customer complaints as a PM at Google?,Google,Leadership,Simple,PM,1-2 years
What would be your plan to increase user engagement at Meta?,Meta,Foundation,Complex,Principal PM,5-8 years
Design a product to enhance customer satisfaction for Google.,Google,Behavioral,Medium,Group PM,5-8 years
Describe how you would launch a new feature for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Simple,Senior PM,2-3 years
Describe how you would sunset a product for Microsoft.,Microsoft,Leadership,Medium,Director,8+ years
Describe how you would scale an MVP for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Medium,Principal PM,2-3 years
What would be your plan to reduce churn at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Simple,PM,2-3 years
What would be your plan to enhance customer satisfaction at Airbnb?,Airbnb,Leadership,Medium,PM,0-1 years
Describe how you would improve customer retention for Apple.,Apple,Strategic,Simple,Senior PM,3-5 years
How would you approach high churn rate at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Simple,Principal PM,0-1 years
How would you approach a failing product at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Leadership,Complex,Group PM,1-2 years
How would you approach rapid growth at Microsoft?,Microsoft,Customer Obsession,Medium,Principal PM,3-5 years
Describe how you would enter a new market for Amazon.,Amazon,Growth,Simple,Director,1-2 years
Describe how you would enter a new market for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Simple,PM,2-3 years
How do you prioritize customer feedback when working at Netflix?,Netflix,Customer Obsession,Medium,PM,5-8 years
Describe how you would launch a new feature for Salesforce.,Salesforce,Strategic,Complex,Senior PM,3-5 years
How would you handle customer complaints as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Complex,PM,0-1 years
What would be your plan to enhance customer satisfaction at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Medium,PM,2-3 years
How would you handle tight deadlines as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Complex,Senior PM,1-2 years
How would you approach a major product launch at Apple?,Apple,Customer Obsession,Medium,Principal PM,8+ years
What would be your plan to improve NPS at Apple?,Apple,Leadership,Complex,Group PM,2-3 years
How would you approach a failing product at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Simple,PM,0-1 years
How would you approach rapid growth at Salesforce?,Salesforce,Strategic,Simple,Senior PM,0-1 years
How do you prioritize cross-team dependencies when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Complex,Director,0-1 years
What would be your plan to reduce churn at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Complex,Senior PM,0-1 years
What would be your plan to improve NPS at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Medium,Group PM,0-1 years
What would be your plan to enhance customer satisfaction at Microsoft?,Microsoft,Growth,Complex,Senior PM,3-5 years
How would you approach a failing product at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Complex,Principal PM,1-2 years
What would be your plan to enhance customer satisfaction at Salesforce?,Salesforce,Metrics,Simple,Senior PM,3-5 years
How would you handle conflicting priorities as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Medium,Senior PM,0-1 years
What would be your plan to reduce churn at Apple?,Apple,Technical,Complex,Principal PM,3-5 years
How would you handle conflicting priorities as a PM at Uber?,Uber,Leadership,Complex,Principal PM,5-8 years
Design a product to improve NPS for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Simple,Group PM,5-8 years
Describe how you would reduce churn for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Complex,Senior PM,3-5 years
What would be your plan to reduce churn at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Complex,Principal PM,8+ years
How would you approach high churn rate at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Simple,Senior PM,3-5 years
How would you approach a major product launch at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Simple,Principal PM,0-1 years
What would be your plan to reduce churn at Salesforce?,Salesforce,Customer Obsession,Simple,Director,2-3 years
What would be your plan to reduce churn at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Complex,Group PM,1-2 years
Design a product to increase user engagement for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Complex,Principal PM,2-3 years
Describe how you would sunset a product for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Leadership,Complex,Principal PM,0-1 years
Describe how you would improve customer retention for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Simple,Senior PM,2-3 years
How would you approach rapid growth at Airbnb?,Airbnb,Metrics,Complex,Senior PM,2-3 years
What would be your plan to grow market share at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Complex,Director,8+ years
How would you approach declining engagement at Stripe?,Stripe,Metrics,Simple,Group PM,5-8 years
Design a product to grow market share for Apple.,Apple,Strategic,Simple,Director,1-2 years
How would you approach high churn rate at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Simple,Principal PM,1-2 years
Design a product to enhance customer satisfaction for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Complex,Director,1-2 years
